Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-18,04:29:02,531470496,304.599,1744820,872410,76m,6,5,5g,2,8,4g,lz4,16k,36k,70k,72m,0.1,0.5,110m,org.apache.spark.serializer.KryoSerializer,40k,0.8,450,8,0.2,304m,0.2
ScalaSparkPagerank,2023-04-18,04:44:17,531470496,278.332,1909483,954741,122m,2,6,11g,8,2,16g,snappy,86k,48k,82k,24m,0.8,0.1,32m,org.apache.spark.serializer.KryoSerializer,22k,0.4,600,8,0.7,42m,0.4
ScalaSparkPagerank,2023-04-18,04:58:32,531470496,191.342,2777594,1388797,14m,4,1,14g,8,2,16g,lz4,2k,18k,120k,64m,0.7,0.9,20m,org.apache.spark.serializer.JavaSerializer,124k,0.2,250,8,0.3,298m,0.4
ScalaSparkPagerank,2023-04-18,05:11:44,531470496,154.965,3429616,1714808,62m,6,2,9g,4,4,8g,lzf,102k,86k,90k,108m,0.6,0.8,98m,org.apache.spark.serializer.JavaSerializer,24k,0.3,500,8,0.5,312m,0.1
ScalaSparkPagerank,2023-04-18,05:32:42,531470496,300.604,1768008,884004,90m,6,7,12g,8,2,16g,snappy,70k,30k,94k,92m,0.2,0.4,98m,org.apache.spark.serializer.KryoSerializer,108k,0.9,400,8,0.1,422m,0.8
ScalaSparkPagerank,2023-04-18,06:20:07,531470496,209.202,2540465,1270232,16m,12,7,13g,4,4,8g,snappy,22k,86k,24k,28m,0.1,0.6,122m,org.apache.spark.serializer.JavaSerializer,60k,0.3,500,8,0.7,100m,0.1
ScalaSparkPagerank,2023-04-18,06:33:43,531470496,191.196,2779715,1389857,118m,14,1,13g,4,4,8g,lzf,108k,26k,60k,52m,0.7,0.6,70m,org.apache.spark.serializer.KryoSerializer,32k,0.8,100,8,0.2,152m,0.8
ScalaSparkPagerank,2023-04-18,06:49:53,531470496,184.517,2880333,1440166,56m,6,5,12g,4,4,8g,lz4,122k,128k,96k,32m,0.3,0.3,18m,org.apache.spark.serializer.KryoSerializer,42k,0.8,700,8,0.2,376m,0.4
ScalaSparkPagerank,2023-04-18,07:04:02,531470496,192.632,2758993,1379496,86m,8,5,16g,2,8,4g,lzf,72k,76k,14k,108m,0.7,0.3,76m,org.apache.spark.serializer.KryoSerializer,68k,0.9,800,8,0.5,304m,0.9
ScalaSparkPagerank,2023-04-18,07:53:00,531470496,324.74,1636603,818301,30m,10,6,13g,2,8,4g,lzf,22k,32k,76k,124m,0.1,0.8,102m,org.apache.spark.serializer.KryoSerializer,96k,0.7,700,8,0.7,270m,0.7
ScalaSparkPagerank,2023-04-18,08:06:13,531470496,151.319,3512252,1756126,100m,10,8,9g,4,4,8g,lz4,62k,98k,100k,24m,0.9,0.7,20m,org.apache.spark.serializer.KryoSerializer,50k,0.2,450,8,0.5,288m,0.8
ScalaSparkPagerank,2023-04-18,08:20:35,531470496,204.201,2602683,1301341,126m,10,1,7g,8,2,16g,lzf,128k,64k,94k,112m,0.7,0.6,26m,org.apache.spark.serializer.KryoSerializer,10k,0.5,350,8,0.7,270m,0.2
ScalaSparkPagerank,2023-04-18,08:37:11,531470496,182.201,2916946,1458473,100m,12,1,7g,2,8,4g,snappy,94k,18k,94k,44m,0.3,0.5,40m,org.apache.spark.serializer.JavaSerializer,26k,0.7,700,8,0.5,464m,0.6
ScalaSparkPagerank,2023-04-18,08:51:25,531470496,157.405,3376452,1688226,8m,16,4,4g,2,8,4g,snappy,60k,110k,116k,4m,0.8,0.7,92m,org.apache.spark.serializer.JavaSerializer,84k,0.8,400,8,0.3,262m,0.5
ScalaSparkPagerank,2023-04-18,09:36:27,531470496,278.007,1911716,955858,68m,12,2,4g,2,8,4g,snappy,10k,66k,68k,28m,0.2,0.8,120m,org.apache.spark.serializer.JavaSerializer,98k,0.7,50,8,0.2,240m,0.7
ScalaSparkPagerank,2023-04-18,09:50:27,531470496,173.745,3058911,1529455,126m,4,7,11g,4,4,8g,lzf,42k,38k,52k,4m,0.5,0.8,42m,org.apache.spark.serializer.JavaSerializer,108k,0.2,250,8,0.8,200m,0.5
ScalaSparkPagerank,2023-04-18,10:30:04,531470496,449.336,1182790,591395,54m,8,3,4g,2,8,4g,snappy,42k,86k,76k,20m,0.1,0.4,52m,org.apache.spark.serializer.KryoSerializer,24k,0.8,300,8,0.6,444m,0.2
ScalaSparkPagerank,2023-04-18,10:54:30,531470496,231.392,2296840,1148420,84m,14,8,9g,8,2,16g,snappy,30k,30k,58k,48m,0.1,0.2,54m,org.apache.spark.serializer.JavaSerializer,126k,0.1,250,8,0.6,152m,0.5
ScalaSparkPagerank,2023-04-18,11:07:37,531470496,162.138,3277889,1638944,54m,6,2,4g,4,4,8g,lz4,96k,52k,4k,80m,0.6,0.4,12m,org.apache.spark.serializer.JavaSerializer,58k,0.7,400,8,0.1,440m,0.7
ScalaSparkPagerank,2023-04-18,11:21:46,531470496,198.188,2681648,1340824,56m,16,6,10g,4,4,8g,snappy,116k,42k,86k,40m,0.5,0.5,18m,org.apache.spark.serializer.KryoSerializer,66k,0.3,50,8,0.5,208m,0.9
ScalaSparkPagerank,2023-04-18,11:35:49,531470496,187.314,2837323,1418661,30m,16,8,11g,4,4,8g,lzf,68k,112k,22k,128m,0.9,0.1,76m,org.apache.spark.serializer.KryoSerializer,66k,0.7,450,8,0.9,164m,0.1
ScalaSparkPagerank,2023-04-18,11:57:06,531470496,316.906,1677060,838530,34m,4,4,11g,8,2,16g,snappy,108k,78k,126k,24m,0.2,0.5,38m,org.apache.spark.serializer.KryoSerializer,108k,0.9,400,8,0.6,114m,0.4
ScalaSparkPagerank,2023-04-18,12:17:17,531470496,254.688,2086751,1043375,46m,8,3,14g,8,2,16g,snappy,24k,92k,58k,120m,0.2,0.6,60m,org.apache.spark.serializer.KryoSerializer,66k,0.6,450,8,0.5,434m,0.6
ScalaSparkPagerank,2023-04-18,12:31:06,531470496,193.235,2750384,1375192,114m,14,6,11g,4,4,8g,lzf,26k,36k,30k,56m,0.7,0.5,66m,org.apache.spark.serializer.KryoSerializer,70k,0.9,350,8,0.4,472m,0.2
ScalaSparkPagerank,2023-04-18,12:47:06,531470496,154.283,3444776,1722388,26m,16,8,12g,4,4,8g,lzf,104k,82k,104k,64m,0.3,0.6,62m,org.apache.spark.serializer.JavaSerializer,50k,0.3,800,8,0.9,286m,0.2
ScalaSparkPagerank,2023-04-18,13:36:44,531470496,231.223,2298519,1149259,2m,10,4,5g,2,8,4g,snappy,54k,66k,20k,28m,0.2,0.6,56m,org.apache.spark.serializer.JavaSerializer,6k,0.4,450,8,0.5,338m,0.7
ScalaSparkPagerank,2023-04-18,13:52:16,531470496,215.868,2462016,1231008,76m,8,4,9g,8,2,16g,snappy,10k,88k,60k,96m,0.4,0.4,114m,org.apache.spark.serializer.KryoSerializer,110k,0.3,250,8,0.3,468m,0.2
ScalaSparkPagerank,2023-04-18,14:06:55,531470496,211.051,2518208,1259104,10m,10,6,10g,8,2,16g,snappy,122k,12k,42k,128m,0.6,0.4,78m,org.apache.spark.serializer.KryoSerializer,26k,0.3,650,8,0.5,144m,0.1
ScalaSparkPagerank,2023-04-18,14:21:09,531470496,195.529,2718115,1359057,58m,8,3,5g,4,4,8g,snappy,94k,100k,62k,36m,0.8,0.9,72m,org.apache.spark.serializer.KryoSerializer,128k,0.8,450,8,0.4,2m,0.5
ScalaSparkPagerank,2023-04-18,14:46:55,531470496,254.927,2084794,1042397,56m,10,5,16g,2,8,4g,lz4,32k,128k,48k,60m,0.1,0.1,38m,org.apache.spark.serializer.JavaSerializer,82k,0.6,450,8,0.9,274m,0.4
ScalaSparkPagerank,2023-04-18,15:00:40,531470496,159.46,3332939,1666469,58m,14,8,14g,2,8,4g,lz4,118k,2k,86k,20m,0.9,0.8,42m,org.apache.spark.serializer.JavaSerializer,122k,0.4,50,8,0.5,188m,0.5
ScalaSparkPagerank,2023-04-18,15:15:05,531470496,164.443,3231943,1615971,32m,10,5,9g,2,8,4g,lz4,104k,100k,128k,112m,0.5,0.4,48m,org.apache.spark.serializer.JavaSerializer,128k,0.7,700,8,0.4,32m,0.4
ScalaSparkPagerank,2023-04-18,15:30:07,531470496,229.278,2318017,1159008,50m,2,8,14g,8,2,16g,snappy,32k,52k,90k,88m,0.9,0.3,76m,org.apache.spark.serializer.JavaSerializer,40k,0.1,550,8,0.5,472m,0.9
ScalaSparkPagerank,2023-04-18,15:44:35,531470496,209.29,2539397,1269698,128m,16,6,12g,8,2,16g,snappy,102k,124k,112k,92m,0.9,0.9,94m,org.apache.spark.serializer.KryoSerializer,26k,0.6,250,8,0.8,232m,0.3
ScalaSparkPagerank,2023-04-18,15:58:35,531470496,152.492,3485235,1742617,40m,16,1,8g,2,8,4g,lz4,12k,16k,116k,80m,0.7,0.3,66m,org.apache.spark.serializer.KryoSerializer,48k,0.4,100,8,0.2,210m,0.4
ScalaSparkPagerank,2023-04-18,16:17:37,531470496,196.1,2710201,1355100,54m,16,7,4g,4,4,8g,snappy,80k,116k,40k,96m,0.2,0.6,90m,org.apache.spark.serializer.JavaSerializer,64k,0.3,550,8,0.9,40m,0.1
ScalaSparkPagerank,2023-04-18,16:30:34,531470496,151.431,3509654,1754827,16m,12,3,8g,4,4,8g,snappy,118k,76k,72k,40m,0.6,0.8,80m,org.apache.spark.serializer.JavaSerializer,70k,0.4,250,8,0.2,476m,0.8
ScalaSparkPagerank,2023-04-18,16:44:27,531470496,166.168,3198392,1599196,2m,14,6,10g,2,8,4g,lzf,30k,6k,120k,4m,0.6,0.5,128m,org.apache.spark.serializer.JavaSerializer,30k,0.8,600,8,0.5,460m,0.5
ScalaSparkPagerank,2023-04-18,17:04:21,531470496,181.846,2922640,1461320,36m,8,1,16g,8,2,16g,snappy,122k,124k,88k,128m,0.2,0.6,54m,org.apache.spark.serializer.JavaSerializer,60k,0.7,400,8,0.4,390m,0.8
ScalaSparkPagerank,2023-04-18,17:21:28,531470496,226.075,2350859,1175429,100m,14,5,12g,2,8,4g,lzf,12k,4k,84k,48m,0.3,0.4,114m,org.apache.spark.serializer.KryoSerializer,82k,0.8,450,8,0.1,210m,0.7
ScalaSparkPagerank,2023-04-18,17:36:30,531470496,236.02,2251802,1125901,80m,2,3,8g,8,2,16g,snappy,20k,100k,48k,56m,0.6,0.1,52m,org.apache.spark.serializer.JavaSerializer,12k,0.6,450,8,0.5,438m,0.4
ScalaSparkPagerank,2023-04-18,17:54:59,531470496,238.368,2229621,1114810,94m,2,2,10g,8,2,16g,snappy,42k,96k,12k,68m,0.3,0.6,46m,org.apache.spark.serializer.JavaSerializer,24k,0.5,200,8,0.5,410m,0.3
