Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-20,15:00:17,4800000000,132.009,36361157,18180578,24m,7,1,16g,2,8,4g,lzf,32k,120k,51k,52m,0.29,0.12,64m,org.apache.spark.serializer.JavaSerializer,45k,0.75,685,0.81,179m,0.58
ScalaSparkTerasort,2023-04-20,15:10:49,4800000000,114.749,41830429,20915214,114m,15,1,16g,4,4,8g,lz4,81k,8k,37k,38m,0.66,0.88,52m,org.apache.spark.serializer.KryoSerializer,32k,0.13,135,0.5,237m,0.84
ScalaSparkTerasort,2023-04-20,15:29:12,4800000000,113.821,42171479,21085739,13m,5,1,16g,8,2,16g,lzf,87k,63k,118k,93m,0.13,0.19,54m,org.apache.spark.serializer.JavaSerializer,65k,0.39,798,0.23,253m,0.58
ScalaSparkTerasort,2023-04-20,15:40:08,4800000000,117.579,40823616,20411808,44m,7,1,16g,8,2,16g,lzf,118k,80k,89k,72m,0.7,0.69,127m,org.apache.spark.serializer.KryoSerializer,127k,0.7,783,0.17,193m,0.85
ScalaSparkTerasort,2023-04-20,15:50:51,4800000000,122.949,39040577,19520288,31m,11,1,16g,8,2,16g,lzf,69k,71k,108k,24m,0.62,0.15,63m,org.apache.spark.serializer.JavaSerializer,118k,0.61,694,0.4,213m,0.26
ScalaSparkTerasort,2023-04-20,16:01:36,4800000000,136.485,35168699,17584349,115m,14,1,16g,8,2,16g,lz4,61k,109k,25k,79m,0.48,0.12,16m,org.apache.spark.serializer.KryoSerializer,13k,0.73,445,0.68,212m,0.11
ScalaSparkTerasort,2023-04-20,16:12:14,4800000000,119.276,40242798,20121399,48m,15,1,16g,2,8,4g,snappy,72k,127k,44k,127m,0.88,0.47,113m,org.apache.spark.serializer.JavaSerializer,37k,0.69,373,0.52,413m,0.32
ScalaSparkTerasort,2023-04-20,16:22:44,4800000000,116.386,41242073,20621036,40m,11,1,16g,4,4,8g,lz4,12k,68k,46k,16m,0.41,0.88,83m,org.apache.spark.serializer.KryoSerializer,69k,0.17,54,0.67,450m,0.42
ScalaSparkTerasort,2023-04-20,16:33:38,4800000000,116.885,41066005,20533002,28m,7,1,16g,2,8,4g,lzf,78k,78k,119k,91m,0.55,0.4,104m,org.apache.spark.serializer.JavaSerializer,53k,0.13,134,0.26,449m,0.63
ScalaSparkTerasort,2023-04-22,01:47:08,4800000000,110.062,43611782,21805891,56m,8,4,11g,8,2,16g,snappy,117k,99k,84k,36m,0.5,0.15,86m,org.apache.spark.serializer.JavaSerializer,32k,0.29,623,0.34,84m,0.26
